web-scraper-order,web-scraper-start-url,nama,kewarganegaraan,tipe_pelanggan,tipe_kamar,rating,judul_review,deskripsi,tanggal_review,periode_menginap
1745475234-1727,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rakutta,Indonesia,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"8,4",“Best Hotel in Central Surabaya”,Good hotel ...,Diulas pada 19 Maret 2019,Menginap 1 malam pada Maret 2019
1745475234-1728,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Andrew,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Old hotel but still  a 5 star in City center of Surabaya”,"great breakfast with plenty of choices Indonesian, chinese, western and japanese meal, huge room",Diulas pada 18 Maret 2019,Menginap 4 malam pada Maret 2019
1745475234-1729,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Joshua,Amerika Serikat,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"8,4",“Oasis in the heart of a city”,"Gives you sense of tranquility. Great food and sparkling facility. Great hotel.

Love the complimentary shoe shine in the room. 

Room's amenities need to be upgraded to: more electrical plugs & USB charger. Need hair dryer in the room.",Diulas pada 14 Maret 2019,Menginap 3 malam pada Maret 2019
1745475234-1730,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Novera,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"9,2",“Spektakuler”,"Good value for money!! 

Its an old hotel but with good maintenance. Spacious room with big comfy bed( looks like king koil). The bathroom has bedtub separated shower with good maintenance. The hotel ptovides you with local touch it has good breakfast! They have live cooking nasi goreng. If you want to find the locals dishes you just stop by the restaurant! All is good thank you",Diulas pada 11 Maret 2019,Menginap 2 malam pada Maret 2019
1745475234-1731,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Azzali,Malaysia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,2",“Home away from home ”,The Hotel makes you forget that you are actually abroad. The Staff's warm welcome and friendliness would make anyone's tired long-day refresh again. I am already in love with the Hotel.,Diulas pada 07 Maret 2019,Menginap 2 malam pada Maret 2019
1745475234-1732,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,john,Australia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"5,2",“never Again”,"i have stayed at this hotel for many years, It used to be my preferred hotel, but after last weeks experience I am done supporting them with my business.   I will explain, this is a so called 5 star hotel.   When i arrived this time,I went to the mini bar for a cool drink to find the mini bar is completely empty, I go down stairs for a swim, the pool is a milky colour, i am told the PH is at an incorrect level and they are adjusting it..  So it now around 5.30pm i think i will have a sun downer,  good luck with that, this hotel has not got its licence to serve alcohol.  What management of a 5star hotel would let a alcohol licenses expire unbelivable I know.    So i go for dinner at Casscads restaurant and think I will hot stone salmon, go with the healthy choice,  the salmon arrives I do my bit and cook it on the hot stone, ready to eat, but no its not at all, its still frozen inside.  Cant write any more the system won't allow it. BUT BE AWARE YOU HAVE BEEN WARNED",Diulas pada 06 Maret 2019,Menginap 7 malam pada Februari 2019
1745475234-1733,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Vincentius,Inggris,Pasangan,Kamar Classic dengan Ranjang King,"6,4","“Good hotel, but...”","It was a very luxurious hotel with helpful staff. Unfortunately, in my room the bathroom was smelly, the breakfast menu was the same everyday, and no shuttle to the airport.",Diulas pada 04 Maret 2019,Menginap 3 malam pada Februari 2019
1745475234-1734,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rudy,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"7,2",“Good childhood memory hotel”,"I have a good childhood memory in this hotel. I used to stay in this hotel all the time. 
Good location, marvellous ambience and friendly staffs still remain on the same standard.
But, we stayed in room 1758. This room is really old and the toilet bowl were really rough due to old age, and it was really inconvenient to seat on it. 
The room were dusty and we need to clean all the wardrobe before we put our clothes there. 
Another difficulties, one of the lift near the entrance on left hand side couldn’t serve 17th floor
Hope the management can solve this issue as soon possible",Diulas pada 04 Maret 2019,Menginap 2 malam pada Maret 2019
1745475234-1735,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Daniel,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Outstanding”,"The level of customer service is outstanding. And this is when compared to other Indonesian 4-star or 5-star hotels. Service is extremely good.

Room is big and comfortable.

Swimming pool is excellent and good.

The breakfast is one of the best. It serve lots of variety of food, with emphasis on Indonesian food, something you can't get elsewhere.",Diulas pada 03 Maret 2019,Menginap 3 malam pada Februari 2019
1745475234-1736,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Siskasari,Amerika Serikat,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,"Nice breakfast, friendly staff.",Diulas pada 01 Maret 2019,Menginap 2 malam pada Juni 2018
1745475234-1737,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ir,,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"7,6",“main pool”,need view smart and natural and jet spa warm water ready at traffic customer coming at evening,Diulas pada 28 Februari 2019,Menginap 1 malam pada November 2018
1745475234-1738,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,lia,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"8,8",“Very nice hotel”,"Room are big,very nice hotel,breakfast qre great.",Diulas pada 27 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1739,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Regis,Prancis,Pasangan,Kamar Classic dengan Ranjang King,"9,2",“Good value for money in the city center”,"It's not a real 5 stars hotel, old style and need some renovation. Nice garden and Indonesian buffet with a lot of choice. Don't expect high standards but the price paid was affordable.",Diulas pada 26 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1740,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,LIZA,Malaysia,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"10,0",“Its value for money in every aspect. ”,"I booked Bumi Surabaya for my trip with 7 of my friends. We are very happy with this hotel and looking forward to come and stay at Bumi Surabaya again. The staff, location, ambience and breakfast spread were so satisfying. Also, the MAS (Malaysian Airline System) is also within the hotel so that is a plus for travellers using that airline.",Diulas pada 21 Februari 2019,Menginap 2 malam pada Februari 2019
1745475234-1741,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Azzali,Malaysia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,6",“The chosen hotel ”,No complaints at all. The hotel definitely will have me as a regular guest,Diulas pada 19 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1742,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Azzali,Malaysia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,6",“Best for business traveller”,"Rooms are spacious. Breakfast is great, full of varieties.  Staff are super friendly. Check in/out effecient",Diulas pada 19 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1743,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,christian,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"8,4",“Old hotel but Great”,"Location is great, room size complaint nothing, garden fantastic (this made me stay here), Food breakfast way too traditional compare to international standard hotel, room a bit dirty, and old. Keep it up, and thank you",Diulas pada 16 Februari 2019,Menginap 4 malam pada Februari 2019
1745475234-1744,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Soetanto,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,4",“Hotel in the middle of the city with a resort atmosphere”,Old hotel but well maintained. Many trees and gardens.,Diulas pada 15 Februari 2019,Menginap 1 malam pada Januari 2019
1745475234-1745,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,jeane,Indonesia,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"4,8",“Receive damage laundry and insaulting me on business room”,"im staying at bumi hotel on sunday at 10feb/11feb( 1night) and received my laundry it was damage and torn in all over my clothes and underwear. I send 5 pieces laundry when night at 8pm and get back with me when near check out time almost 2pm, which supposed to be delivery on 10AM..
It was a nightmare!!Staying this hotel, the hotel staff makeup of stories on different version and denial. And ihad been BULLY and taken me to board room on business centre with 5 or 6 people hotel staff, inside they window curtain closed and closed door. 
The hotel denied of their laundry service and not want compesation as on bills and told me to call police by 12 hour.  So i come with police at 11 pm night and was there until 5am, but the hotel's staff in charge not there and the dirertor's room named anjas ,front desk supervisor named leni and housekeeping turn off the phone. And not want come to hotel.. because the bills regulation 1×12 hours to claims the damage clothes and the all staff is dissapear. So i tell this to agoda ,to contact hotel and report this case to as claims hotel responsibilities about their service",Diulas pada 13 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1746,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Willem,,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Fantastisch deal”,Fantastisch hotel with very good price for five star,Diulas pada 12 Februari 2019,Menginap 2 malam pada Februari 2019
1745475234-1747,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Abdel,Malaysia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“All wow! ”,Good & various breakfast. They joined our two rooms & provided a baby cot. All perfect.,Diulas pada 08 Februari 2019,Menginap 3 malam pada Februari 2019
1745475234-1748,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Devi,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“EXCEPTIONAL!!!”,"Price are too good to be true for 5 stars hotel. Room is spacious,clean,luxury and breakfast really good with plenty of variety. TV bit small for the kind of this spacious room. But still ok. They have so many spot to chilling, by the garden or by the pool and even if u're feel not comfortable to be outdoor they also still have indoor corner which also ok for chilling.  Facilities are the bestest, all well maintain and complete! Location is exceptional!
Definitely will go back !",Diulas pada 06 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1749,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ying,Malaysia,Pasangan,Kamar Classic dengan Ranjang King,"9,6",“Love this hotel! ”,Very lovely room and the bed was very comfortable. They have an amazing breakfast spread of Indonesian food and some international food. Very clean and nice environment. Only thing is that you need a car to get to most places if you are staying here. There is a mall within 15 mins walk but Indonesian roads aren’t built to accommodate pedestrians  very well. Would definitely stay again,Diulas pada 06 Februari 2019,Menginap 1 malam pada April 2018
1745475234-1750,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Tjandra,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"8,4",“Value for money”,"The room bit dirty .. i found so many chips on the floor also toilet .. 
the breakfast was the one interesting .. but their breakfast mapping kiosk bit untidy.

But with their good staffs .. this hotel is still recommended! 👍👍👍 and value for money! 

Keep it up!",Diulas pada 04 Februari 2019,Menginap 1 malam pada Februari 2019
1745475234-1751,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Vicky,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Istimewa”,"Lost and found division was incredible and honest. I have left my smartwatch charger, they kept it and return back to me. Thank you so much",Diulas pada 02 Februari 2019,Menginap 2 malam pada Januari 2019
1745475234-1752,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Mohammad,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"10,0",“Excelent”,One of best hotel in town... Highly recommended,Diulas pada 01 Februari 2019,Menginap 1 malam pada Januari 2019
1745475234-1753,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Mohd,Malaysia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,fantastic hotel with superb hospitality,Diulas pada 01 Februari 2019,Menginap 4 malam pada Januari 2019
1745475234-1754,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,johanes,Australia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,"Centrally located around Surabaya CBD, close to TP shopping center, the staff are very friendly and helpful. Hotel area is clean and very well decorated, room is big and nice bed and big bathroom. Hotel has tennis court (with fee) , gym and swimming pool. Nice breakfast with a lot variety of Indonesian food for breakfast and dinner.
Totally recommended",Diulas pada 31 Januari 2019,Menginap 2 malam pada Januari 2019
1745475234-1755,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,kee,Singapura,Pasangan,Kamar Classic dengan Ranjang King,"8,8",“Luar biasa”,front desk staff super helpful breakfast supervisor super rude,Diulas pada 30 Januari 2019,Menginap 1 malam pada April 2018
1745475234-1756,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,kee,Singapura,Pasangan,Kamar Classic dengan Ranjang King,"8,8",“Luar biasa”,front desk staff super helpful breakfast supervisor super rude,Diulas pada 30 Januari 2019,Menginap 1 malam pada April 2018
1745475234-1757,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,kee,Singapura,Pasangan,Kamar Classic dengan Ranjang King,"9,6",“Spektakuler”,"good value for money, front desk super helpful breakfast supervisor super rude",Diulas pada 30 Januari 2019,Menginap 2 malam pada April 2018
1745475234-1758,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ronald,Taiwan,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"10,0",“Perfectly satisfied ~”,"An oasis in the city center.
Spacious complex of the hotel, amazing greenery garden.
All staff are kind, attentive and hospital.",Diulas pada 29 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1759,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,THIO,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,4",“GOOD HOTEL”,"VALUE FOR MONEY, BUT FOR TV A BIT OLD, FOOD AWESOME,",Diulas pada 26 Januari 2019,Menginap 2 malam pada Januari 2019
1745475234-1760,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Erwin,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Exceptional”,"It's a great and wonderful stay in Bumi Resort. Just love the food. So many traditional cuisines to choose. it's like staying in a ""green"" hotels. great atmosphere and very comfy.",Diulas pada 20 Januari 2019,Menginap 1 malam pada Agustus 2018
1745475234-1761,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Cheerene,Singapura,Pasangan,Kamar Classic dengan Ranjang King,"8,4",“Good location and nice ambience ”,"Located in The Central of surabaya.
A very nice place to stay in with friendly staff.",Diulas pada 19 Januari 2019,Menginap 3 malam pada Januari 2019
1745475234-1762,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,rifka,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Great Experience ”,Good food. Clean room. The staff was helpful and the location is perfect,Diulas pada 15 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1763,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,THIO,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,4",“GOOD AND COZY HOTEL”,"Good Food, Nice Hotel and Hospitality Staff",Diulas pada 08 Januari 2019,Menginap 2 malam pada November 2018
1745475234-1764,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,ZHE,Republik Rakyat Tiongkok,Pasangan,Kamar Classic dengan Ranjang King,"9,6",“Spektakuler”,Traffic is a little busy outside so arrange a bit more free time when you consider your transport.  Food is amazing. I like it.,Diulas pada 06 Januari 2019,Menginap 1 malam pada Desember 2018
1745475234-1765,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Anton,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"9,6",“Comfort Hotel”,One of the comfort hotel in Surabaya,Diulas pada 06 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1766,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,anton,Indonesia,Wisatawan tunggal,Kamar Classic dengan Ranjang King,"8,0",“Clean room ”,Clean room and good taste of food,Diulas pada 05 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1767,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,rachel,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“2nd home”,always satisfied,Diulas pada 05 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1768,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Devina,Australia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,"Nice breakfast, huge room, good atmosphere for an outdoor restaurant.
Beautiful people, very kind and helpful staff.
I love the city view from our bathtub!
Also, the fragrant in the lobby.
Good job! We'll definitely return.",Diulas pada 04 Januari 2019,Menginap 1 malam pada September 2018
1745475234-1769,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Chitra,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"8,8",“Great hotel in the center of surabaya”,"We enjoyed our stay. Large room with bathtub. The hotel has really nice garden with fish ponds, lots of photo spots. Great breakfast. We did have some issues with the cable tv & plumbing, but no big deal.",Diulas pada 04 Januari 2019,Menginap 1 malam pada Desember 2018
1745475234-1770,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Christian,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"6,8","“Nice jungle restaurant, but....”","At the first came in to my room. Had a  bad smell. Okay.. maybe because the room had carpet floor.
But it more worst at afternoon and night..
The bathroom door cant close properly, its to heavy for kids or a woman to slide it.
The fan at toilet is broke.. imagine the room without ventilation. The bathroom door cant close either.
How worst the smell could it be.
 I try to call reception. At the first arival to report the smell problem but no one came in. My room was at 2161
 If u want to spent tjme for swim or try many culiner wit jungle concept its  okay.
I think not,  for stay over night.",Diulas pada 04 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1771,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,rinda,Indonesia,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"8,0",“old hotel”,"Its an old hotel n clearly show it. They surely need to upgrade to be a true 5* hotel. But I got a good price from agoda, so consider the location and room space, this hotel really worth it",Diulas pada 03 Januari 2019,Menginap 1 malam pada Desember 2018
1745475234-1772,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,supiyan,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Greeneries surrounding with balinese decoration hotel”,"Big and clean room, got corner room with city and pool view. Big bathroom : hot and cold water in both bath-up and shower works well, has hair dryer, complete amenities such as soap, tooth brush, shampoo, sewing kit, etc.
AC, tea/coffee maker works well.
TV has many channels, good WiFi in room.

Good swimming pool, delicious pizza from Warung Bule (in pool area) with reasonable price. 
Complete breakfast. Newspaper in the morning sent to the room.

Indonesian instrument from gamelan or piano with the smell of lemongrass welcoming guests in the lobby area.
smooth check-in and check-out process.

Near Minimart/Indomaret (at the corner of the street) about 7 mins walking. Near Tunjungan Plaza (still needs taxi or gocar/grab).

Cake shop discount at 17.30. best deal for bread and cakes (50% off). Gellato ice cream only at Rp. 25.000,-. 

Recommended hotel in the center of Surabaya.",Diulas pada 02 Januari 2019,Menginap 1 malam pada Januari 2019
1745475234-1773,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Bambang,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"10,0",“Good”,Good,Diulas pada 31 Desember 2018,Menginap 1 malam pada Desember 2018
1745475234-1774,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Emil,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Recommended”,Nice view in lobby and arround.  ALso like the aroma sereh. Variaty menu when breakfast.,Diulas pada 31 Desember 2018,Menginap 1 malam pada Desember 2018
1745475234-1775,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,nelly,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"8,4",“Luar biasa”,the pool is need more maintenance,Diulas pada 29 Desember 2018,Menginap 2 malam pada Desember 2018
1745475234-1776,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Maria,Australia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Excellent”,"This hotel is beautiful, the outdoor garden are well kept, very green and neat. Breakfast was yummy, the noodle and rice section especially, he made a good nasi goreng and mie godog. The traditional kueh also very nice, as well as the soto. Our experience in this hotel was very good, and we will stay there again if we go back to Surabaya.",Diulas pada 27 Desember 2018,Menginap 2 malam pada Desember 2018
1745475234-1777,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,binziad,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Perfect”,"Perfect choice for our 3 nights stay in Surabaya. Friendly staff, clean and spacious rooms, nice javanese ambience, excellent breakfast, our kids loved the pool, modern gym, and the hotel is strategically located at the heart of Surabaya. Will be back here again for sure...",Diulas pada 26 Desember 2018,Menginap 3 malam pada Desember 2018
1745475234-1778,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ming,Malaysia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"6,4",“Dissapointed ”,"Previously stay here feel everything is good , so decide to stay again but this time feel dissapointed.
Arrived 2pm, room not ready yet and be inform only can check in at 3pm, no argue on that as the official check in time is 3pm. But the weird things is many others are allow to direct check in even though before 3pm or arrive later than us. After 3pm we keep ask for the room but the staff only said will check for us. Finally get the room at 4pm. 

The only good and maintain well is their buffet dinner, even though many people but the foods still keep refill without let empty.",Diulas pada 26 Desember 2018,Menginap 1 malam pada Desember 2018
1745475234-1779,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Aes,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"9,2",“Always great”,My fav hotel in town. I have so great memories with this hotel. Once they give me a cake when my friend bday and give us surprise,Diulas pada 14 Desember 2018,Menginap 2 malam pada Januari 2018
1745475234-1780,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Aes,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"9,6",“Comfortable hotel”,"The location good, the breakfast soo good with may choices, the taste very good especially nasi goreng",Diulas pada 14 Desember 2018,Menginap 2 malam pada Desember 2018
1745475234-1781,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,michitaka,Jepang,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"10,0",“Unique 5 star hotel w Indonesian touch ”,"I’m a frequent traveler and this is one of my favorite hotels. Room is spacious and clean, slightly scented w lemongrass aroma, and the view of Surabaya is magnificent at night. 

Breakfast is themed on Indonesian “warung” = hawker foods and we can have it in beautiful lush garden. 

You can find Indonesian artifacts in many corners of the hotel, which makes this hotel really unique.

This hotel really deserves the name “city resort”

This property was used to be a Hyatt and maintains 5-star luxury ring with it. 

Located in CBD of Surabaya. If you don’t mind 1km walk, gigantic shopping mall (TP)  is here for you.

Gym/sauna/25m swimming pool for lap swimming/tennis court/jogging track are all there.

Couldn’t like this place more!",Diulas pada 06 Desember 2018,Menginap 1 malam pada Desember 2018
1745475234-1782,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,novita,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,8",“Great location with great breakfast”,"One of well located hotel with spacious room that have interesting breakfast area and option 
Love the entrance and lobby with the live piano music
The room it self its standard good , nothing special
Will be more lovely if they can renovated since it’s start feel bit old ( but maybe thats what make the price still very reasonable for its facility and location)",Diulas pada 02 Desember 2018,Menginap 1 malam pada Juli 2018
1745475234-1783,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,lim,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"10,0",“Spektakuler”,"although it's old hotel, but it keeps its essence and charm. i like the smell of lemongrass when i enter the lobby, i like the javanese decoration they put across the lobby. the room is spacious, and it has clean bath tub. what i like most is its shower. it has consistent hot water and powerful stream. the room is also sound-proof, making good quality sleep. in the morning, i had breakfast at their outdoor space, it provides tall and ample of greenery for fresh air (too bad there were smokers).  the food is also great, excellent! i like it offers traditional food, like Jamu, mie nyemek, and fritters",Diulas pada 01 Desember 2018,Menginap 1 malam pada November 2018
1745475234-1784,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Mohammad,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,8",“Wonderful”,Best hotel in town,Diulas pada 22 November 2018,Menginap 1 malam pada Agustus 2018
